"","20/09/2022","21/09/2022","22/09/2022","23/09/2022","24/09/2022","25/09/2022","26/09/2022"
"Revenue","0","0","0","0","0","0","0"
"Units sold","0","0","0","0","0","0","0"
"Accessories","0","0","0","0","0","0","0"
"Adidas Children Shoes","0","0","0","0","0","0","0"
"Adidas Grade School Shoes","0","0","0","0","0","0","0"
"Adidas Infant Shoes","0","0","0","0","0","0","0"
"Adidas Mens Clothing","0","0","0","0","0","0","0"
"Adidas Shoes","0","0","0","0","0","0","0"
"Adidas Womens Shoes","0","0","0","0","0","0","0"
"Air Jordan Children Shoes","0","0","0","0","0","0","0"
"Air Jordan Grade School Shoes","0","0","0","0","0","0","0"
"Air Jordan Infant Shoes","0","0","0","0","0","0","0"
"Air Jordan Shoes","0","0","0","0","0","0","0"
"Air Jordan Womens Shoes","0","0","0","0","0","0","0"
"Asics Shoes","0","0","0","0","0","0","0"
"Clothing","0","0","0","0","0","0","0"
"Collectibles","0","0","0","0","0","0","0"
"Converse Shoes","0","0","0","0","0","0","0"
"Hats","0","0","0","0","0","0","0"
"Kenzo Sweatshirt","0","0","0","0","0","0","0"
"Kenzo T-Shirt","0","0","0","0","0","0","0"
"New Balance Shoes","0","0","0","0","0","0","0"
"Nike Children Shoes","0","0","0","0","0","0","0"
"Nike Clothing","0","0","0","0","0","0","0"
"Nike Grade School Shoes","0","0","0","0","0","0","0"
"Nike Infant Shoes","0","0","0","0","0","0","0"
"Nike Shoes","0","0","0","0","0","0","0"
"Nike Womens Clothing","0","0","0","0","0","0","0"
"Nike Womens Shoes","0","0","0","0","0","0","0"
"Puma Shoes","0","0","0","0","0","0","0"
"Puma Womens Shoes","0","0","0","0","0","0","0"
"Reebok Shoes","0","0","0","0","0","0","0"
"Reebok Womens Shoes","0","0","0","0","0","0","0"
"Saucony Shoes","0","0","0","0","0","0","0"
"Supreme Shoes","0","0","0","0","0","0","0"
"Vans Shoes","0","0","0","0","0","0","0"
